key	definitions	type	instances	example
x-next_page	1	object	2	https://api.swaggerhub.com/apis/kalinon/kdm/0.0.1
x-no-slug-transform	1	boolean	5	https://api.swaggerhub.com/apis/BretJohnson/the-bridge/0.1.0
x-noshow-verified	1	object	2	https://api.swaggerhub.com/apis/tsz662/rest-sample/1.0
x-ntx-callback-schema	1	object	1	https://api.swaggerhub.com/apis/justinkobel/equipment-req_approval/1.0.0
x-omds2-property	1	string	6	https://api.swaggerhub.com/apis/tiscca/EndCustomerApi/0.1.11
x-openType	1	boolean	7	https://api.swaggerhub.com/apis/rimoe/TM1Rest/10.2.2.6
x-otm-annotations	1	object	3	https://api.swaggerhub.com/apis/jessexx/hotel-shop_domain/1.0.0
x-otm-library	1	object	1	https://api.swaggerhub.com/apis/jessexx/hotel-shop_domain/1.0.0
x-otm-resource	1	object	1	https://api.swaggerhub.com/apis/jessexx/hotel-shop_domain/1.0.0
x-page	1	object	2	https://api.swaggerhub.com/apis/kalinon/kdm/0.0.1
x-path-parameters	1	object	1	https://api.swaggerhub.com/apis/bradj/go-example/1.0.0
x-permission	1	string	8	https://api.swaggerhub.com/apis/russell/BillingPeriods/1.0.0
x-pims-id	1	object	1	https://api.swaggerhub.com/apis/IDEXX_VetConnect_PLUS/Results-Data/3.0
x-pims-version	1	object	1	https://api.swaggerhub.com/apis/IDEXX_VetConnect_PLUS/Results-Data/3.0
x-postman-meta	1	object	22	https://api.swaggerhub.com/apis/Payal/driveqtest/1.0
x-privieges	1	object	1	https://api.swaggerhub.com/apis/coachtech/velocloud-api/0.9.0
x-privileges	1	object	77	https://api.swaggerhub.com/apis/coachtech/velocloud-api/0.9.0
x-procedures	1	object	1	https://api.swaggerhub.com/apis/timburks/Bookstore/1.0
x-publishedEvents	1	multiple	135	https://api.swaggerhub.com/apis/robert.odowd/tmp_123/2.0
x-refreshTokenUrl	1	string	1	https://api.swaggerhub.com/apis/gregra81/forge-sdk/0.1.0
x-relation	1	object	89	https://api.swaggerhub.com/apis/fastovezz/osfc/2016.05.02
x-repeated	1	boolean	2	https://api.swaggerhub.com/apis/timburks/Bookstore/1.0
x-reprezen-normalization	1	object	2	https://api.swaggerhub.com/apis/ptindall/Usage_API/1.0.0
x-result	1	object	5	https://api.swaggerhub.com/apis/claylo/Smartsheet/2.0.0
x-returns	1	object	8	https://api.swaggerhub.com/apis/timburks/Bookstore/1.0
x-revision	1	string	1	https://api.swaggerhub.com/apis/erikvanzijst/Bitbucket/2.0
x-rm-categories	1	object	1	https://api.swaggerhub.com/apis/srtucker/DocuSign/1
x-rm-category	1	string	49	https://api.swaggerhub.com/apis/srtucker/DocuSign/1
x-rm-method	1	string	221	https://api.swaggerhub.com/apis/srtucker/DocuSign/1
x-rm-order	1	string	49	https://api.swaggerhub.com/apis/srtucker/DocuSign/1
x-routeId	1	string	2	https://api.swaggerhub.com/apis/royzhu/account-system/0.0.1
x-router-controller	1	string	1	https://api.swaggerhub.com/apis/jekccs/SkeegleApi/1.0
x-sam-operationId	1	string	5	https://api.swaggerhub.com/apis/c9katayama/SORACOM/20160405
x-sandboxClientSecret	1	string	1	https://api.swaggerhub.com/apis/PradeepAnde/token-v_1/12.0.0
x-sc-crud	1	object	1	https://api.swaggerhub.com/apis/miguel.munoz/Accounting/1.0.0
x-schema	1	string	48	https://api.swaggerhub.com/apis/dvburns/CustomerApiDev/v1
x-scopes	1	object	1	https://api.swaggerhub.com/apis/loganvolkers/referral-saa_squatch_rest_api_reference/1.0.0
x-seagger-router-controller	1	string	1	https://api.swaggerhub.com/apis/karthik.laureate/TestIncubationDB/1.0.0
x-security-unauthenticated	1	boolean	1	https://api.swaggerhub.com/apis/tdaffin/unity-cloud_build/1.0.0
x-service	1	string	1	https://api.swaggerhub.com/apis/yamadamasaki/accs/0.0.1
x-serviceCode	1	string	1	https://api.swaggerhub.com/apis/RobyHyde/recruiting/1.0
x-services	1	object	1	https://api.swaggerhub.com/apis/danshannon/orders-event-model/0.1
x-show-verified	1	object	2	https://api.swaggerhub.com/apis/tsz662/rest-sample/1.0
x-since-version	1	string	18	https://api.swaggerhub.com/apis/yaninasabon/yaml-file_for_deal_hub_and_manage_sales/1.1.0
x-soracom-cli	1	object	112	https://api.swaggerhub.com/apis/c9katayama/SORACOM/20160405
x-sql-column	1	string	15	https://api.swaggerhub.com/apis/sarumont/Testing/1.0.0
x-sql-table	1	string	2	https://api.swaggerhub.com/apis/sarumont/Testing/1.0.0
x-sql-type	1	string	1	https://api.swaggerhub.com/apis/sarumont/Testing/1.0.0
x-support	1	string	1	https://api.swaggerhub.com/apis/gregra81/forge-sdk/0.1.0
x-supportTeam	1	object	1	https://api.swaggerhub.com/apis/preeth.g/pushregistration/1
x-suppress	1	object	1	https://api.swaggerhub.com/apis/sombradevs/phn/1.0.0
x-suppress-unused	1	object	1	https://api.swaggerhub.com/apis/quentin-chen/project-victoria_api/1.0.0
x-swagger-mongoose	1	object	1	https://api.swaggerhub.com/apis/lucascallado/hoverlay-rest_ap_is/0.2.0
x-swagger-route-controller	1	string	5	https://api.swaggerhub.com/apis/arlemi/techfinder/1.0.0
x-swagger-router-model	1	string	4	https://api.swaggerhub.com/apis/hugom02/swagger-hub_registry_api/1.0.41
x-swaggerhub-info	1	object	1	https://api.swaggerhub.com/apis/ecco/iot-fork/0.0.0
x-technicalOwner	1	object	1	https://api.swaggerhub.com/apis/preeth.g/pushregistration/1
x-tenant	1	string	1	https://api.swaggerhub.com/apis/yamadamasaki/accs/0.0.1
x-test	1	string	1	https://api.swaggerhub.com/apis/tusharwagh/uber-api/1.0.0
x-testable	1	boolean	5	https://api.swaggerhub.com/apis/mzarify/MDES/1.0
x-total	1	object	2	https://api.swaggerhub.com/apis/kalinon/kdm/0.0.1
x-total-pages	1	object	2	https://api.swaggerhub.com/apis/kalinon/kdm/0.0.1
x-tq-query	1	string	2	https://api.swaggerhub.com/apis/wdiesveld/favoroute-api_v_3/3.0.0
x-tq-table	1	string	1	https://api.swaggerhub.com/apis/wdiesveld/favoroute-api_v_3/3.0.0
x-type-value	1	string	2	https://api.swaggerhub.com/apis/bear2029/report-wizard_ap_is/1.0.0
x-url	1	boolean	5	https://api.swaggerhub.com/apis/steve70E/big-commerce_catalog_api/3.0.0b
x-value	1	string	1	https://api.swaggerhub.com/apis/zuora/Settings2/1.0.0
x-version-notes	1	object	1	https://api.swaggerhub.com/apis/readnotify/readnotify/1.0.0
x-visibility	1	object	6	https://api.swaggerhub.com/apis/diogeneshamilton/Venmo/1.0
x-vtex-api-appKey	1	string	3	https://api.swaggerhub.com/apis/renanservare/Test/1.0
x-vtex-api-appToken	1	string	3	https://api.swaggerhub.com/apis/renanservare/Test/1.0
x-ygls-access	1	string	1	https://api.swaggerhub.com/apis/tsz662/petstore/1.0.0
x-zelda-add-default-models	1	boolean	1	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
x-zelda-function-name	1	string	3	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
